table,project,sponsors,link
32,HackSat,ShapeWays Challenge: Best 3D printing hack,http://hackupc2017w.devpost.com/submissions/68745-hacksat
2,Assist Me,Between Challenge:  SmartLocation to save lives,http://hackupc2017w.devpost.com/submissions/68776-assist-me
13,Whale Protection,"#HackHarassment, Between Challenge:  SmartLocation to save lives",http://hackupc2017w.devpost.com/submissions/68780-whale-protection
85,UPCoin,"FIB API Challenge, Best .tech domain, Scalingo Challenge: The coolest Hack Hosted on Scalingo, Best hack by Bloomberg, Amazon Web Services - Best Use of AWS",http://hackupc2017w.devpost.com/submissions/68782-upcoin
25,groovify,,http://hackupc2017w.devpost.com/submissions/68783-groovify
74,ChATURAT,"#HackHarassment, Scalingo Challenge: The coolest Hack Hosted on Scalingo, Best hack by Bloomberg",http://hackupc2017w.devpost.com/submissions/68784-chaturat
63,ReportEs,"Between Challenge:  SmartLocation to save lives, Best hack by Bloomberg",http://hackupc2017w.devpost.com/submissions/68785-reportes
19,eink.news,"Best hack by Bloomberg, Amazon Web Services - Best Use of AWS",http://hackupc2017w.devpost.com/submissions/68787-eink-news
10,AmISafe,"EVERIS Challenge: Help people with AI, Between Challenge:  SmartLocation to save lives",http://hackupc2017w.devpost.com/submissions/68789-amisafe
30,GIF Palette,"Best .tech domain, Scalingo Challenge: The coolest Hack Hosted on Scalingo, Best hack by Bloomberg, Amazon Web Services - Best Use of AWS",http://hackupc2017w.devpost.com/submissions/68790-gif-palette
88,Car AI 2,"EVERIS Challenge: Help people with AI, Best hack by Bloomberg",http://hackupc2017w.devpost.com/submissions/68791-car-ai-2
51,Tensorflow Fun,,http://hackupc2017w.devpost.com/submissions/68792-tensorflow-fun
68,1Sec,,http://hackupc2017w.devpost.com/submissions/68793-1sec
45,Crowd.io,"Between Challenge:  SmartLocation to save lives, Scalingo Challenge: The coolest Hack Hosted on Scalingo",http://hackupc2017w.devpost.com/submissions/68794-crowd-io
