project,location,description
SocialEngineSpeech,67,"Inspiration

With so much of web design being visual and blind users having to settle for a second-class experience due to their disability only allowing interaction through screen readers, we thought"
Ryanscanner,29,"Inspiration

Travelling around Europe this summer, I noticed it was often cheaper to fly to an intermediate destination and then on again on a low-cost-carrier when the fare direct was often more expe"
TravelTimmy,95,"TravelTimmy

All your business trips in your teams' home: Twist.

About

Staying on top of your business trips is pretty hard:


Where did I leave the boarding pass again?
Did I book my flight yet?


"
Flying Fishooter,24,"Inspiration

There is a game called The archers 2 that allows a high integration between finger gestures and the game. We decided to extend this game to 3 dimensions.

What it does

The player uses sw"
ImaginBot,99,"Inspiration

We wanted to go beyond and not just make a simple bot to send and receive money, but also help us in our day to day life and make life easier.

What it does

Our chatbot allows you to int"
KOH,11,"Inspiration

We where at the zoo we couldn't get a selfie with the animals so we built a bot to do it for us.

What it does

It takes your face and puts it on another image.

How we built it

We used "
International Wanderer,107,"Inspiration

Miscommunication in teams can have a serious impact on a groups performance. In a world that is moving towards having decentralised companies, working across borders must be made as easy "
BankBird,128,"Inspiration

The best chatbot for a financial app. We want to automate information and find new bank information for the end user. Help the user find the nearest banks and ATMs.

What it does

Automat"
Crime Me a River,63,"Inspiration

We were inspired by OpenTrends Open Source Your City concept and we wanted to 

What it does

Our ML model predicts the general location of crime hotspots on a particular day of the week."
The Flighter,15,"Inspiration

Our inspiration is based on the fact that we love to travel, but are limited by our budgets as students. With websites such as camelcamelcamel for Amazon, there are a lack of options on t"
NapBoard,21,"We came up with the idea of developing an OCR when we heard Itequia could help us building such an incredible project. 

NapBoard helps you by taking the text of any type of image file format and prin"
Whiteboard OCR,83,"Inspiration

The Etiquia company needed some way to save their whiteboards on their electronic devices. This is why they offered the challenge to make one.

What it does

You send a picture from the w"
CypherEstate,32,"CypherEstate

What is CypherEstate?


CypherEstate is a decentralized blogging site based on IPFS. Users can create their own personal blog, free of charge, and post anything they have in mind. No cen"
Twist for Alexa,64,"Inspiration

I was really interested in the Doist challenge as I use Todoist to manage my tasks. I really liked the look of Twist, but was struggling to think of a useful hack to create with it. I bro"
Fly Team,78,"Building something more than just a toy controlled by joystick. We wanted to  build a drone, as a station for sensors, which could come as close as possible to an intuitive flying experience. So we bu"
Shop Framework,100,"The JCR (student union) of my college at Oxford runs a shop which contains things like sweets and sanitary goods, which is convenient since the nearest real corner shop is probably about 500m away, an"
Crowdio,69,"Inspiration

Before the hackathon, while exploring the beautiful streets of sunny Barcelona, our team was fortunate to stumble upon a number of impressive street performers, from musicians of various "
AgileSmartParking,10,"HACKUPC2017

AgileSmartParking

Agile Smart Parking is a webapp bringing all the Open Source Rapid Prototyping Agile Tech around the world to bring the best parking experience in a SMART CITY with CON"
feelpad,112,"Feelpad

Feelpad is text

Write markdown on the left, see the preview on the right. No more github screwups. What's more, you can save the result as a pdf. Smart for sharing a markdown doc with the no"
Aruki,125,"Inspiration

Creating a huge and accessible database for smart-cities is a must nowadays. Optimization of city traffic is one of the main topics to address since its directly related to contamination "
